"доступны плагины, которые можно использовать для выполнения задач, начиная от компиляции кода и заканчивая упаковкой","plugins are available that can be used to perform tasks ranging from code compilation to packaging,"
это ценный инструмент для объединения лучших практик и общих ресурсов,"it's a valuable tool for bundling best practices and common assets ,"
один метод обычно включает в себя одно действие,"one method typically involves one action,"
"он может служить инструментом, позволяющим нам упорядочивать доступные плагины","it can serve as a tool lets us sequence available plugins,"
это не налагает никаких условностей или ограничений на ваш проект,"it doesn't impose any conventions or restrictions on your project,"
"Сегодня, хотя строгий TDD практикуется редко, эта идея широко распространена","""Today, while strict TDD is seldom practiced, the idea is prevalent"","
это дает практическое представление о Селене,"it provides practical insight into the Selenium ,"
"в нем представлен POM, популярный шаблон проектирования, используемый совместно с Selenium ","""it introduces POM, a popular design pattern used in conjunction with Selenium"","
"С этой целью в этой главе сначала объясняется, как проводить кроссбраузерное тестирование","""To that aim, this chapter first explains how to carry out cross-browser testing "","
"Этот сервер подключает веб-браузеры по требованию, вводя Selenium","""This server launches web browsers on demand, injecting the Selenium "","
"Кроме того, Selenium Remote control вносит соответствующие дополнения, влияющие на его производительность.","""Besides, Selenium Remote control introduces a relevant additions that impacts its performance."","
Я хочу поблагодарить за всесторонний обзор,"I want to recognize for a comprehensive overview,"
"Как мы уже упоминали, расширение файлов не удобны","""As we mentioned, file extensions are not convenient"","
"плагины доступны, которые можно использовать для выполнения задач, начиная от компиляции кода и заканчивая упаковкой,","plugins are available that can be used to perform tasks ranging from code compilation to packaging,"
"он может служить инструментом, передающим архивы","""it can serve as a tool, conveying archives"","
его возможности и производительность намного превосходят RC,"its capabilities and performance are far superior to RC,"
его использование не рекомендуется в пользу Selenium,"its use is discouraged in favor of Selenium ,"
"В таблице приведены браузеры и драйверы, официально поддерживаемые Selenium,","Table  summarizes the browsers and drivers officially supported by Selenium,"
"Драйверы - это зависящие от платформы двоичные файлы, которые получают команды от скрипта WebDriver ","Drivers are platform-dependent binary files that receive commands from a WebDriver script ,"
аличие описания тестов значительно сократит время регрессионного тестирования,"having a description of the tests will significantly reduce the time of regression testing,"
